CNN_width : 1 ; Parameters : 540 ; Train Loss : 1.891944 ; Train Acc : 0.349 ; Test Loss : 1.671523 ; Test Acc : 0.413
CNN_width : 4 ; Parameters : 6666 ; Train Loss : 1.427719 ; Train Acc : 0.593 ; Test Loss : 1.123508 ; Test Acc : 0.633
CNN_width : 8 ; Parameters : 25418 ; Train Loss : 1.163607 ; Train Acc : 0.748 ; Test Loss : 1.008633 ; Test Acc : 0.682
CNN_width : 12 ; Parameters : 56266 ; Train Loss : 1.021648 ; Train Acc : 0.816 ; Test Loss : 0.981297 ; Test Acc : 0.695
CNN_width : 16 ; Parameters : 99210 ; Train Loss : 0.957066 ; Train Acc : 0.824 ; Test Loss : 0.944332 ; Test Acc : 0.721
CNN_width : 20 ; Parameters : 154250 ; Train Loss : 0.928750 ; Train Acc : 0.824 ; Test Loss : 0.946282 ; Test Acc : 0.728
CNN_width : 24 ; Parameters : 221386 ; Train Loss : 0.911780 ; Train Acc : 0.824 ; Test Loss : 0.891232 ; Test Acc : 0.755
CNN_width : 28 ; Parameters : 300618 ; Train Loss : 0.902659 ; Train Acc : 0.824 ; Test Loss : 0.866922 ; Test Acc : 0.766
CNN_width : 32 ; Parameters : 391946 ; Train Loss : 0.893409 ; Train Acc : 0.824 ; Test Loss : 0.851952 ; Test Acc : 0.780
CNN_width : 36 ; Parameters : 495370 ; Train Loss : 0.889984 ; Train Acc : 0.824 ; Test Loss : 0.873073 ; Test Acc : 0.777
CNN_width : 40 ; Parameters : 610890 ; Train Loss : 0.889343 ; Train Acc : 0.824 ; Test Loss : 0.835079 ; Test Acc : 0.792
CNN_width : 44 ; Parameters : 738506 ; Train Loss : 0.883957 ; Train Acc : 0.825 ; Test Loss : 0.822372 ; Test Acc : 0.799
CNN_width : 48 ; Parameters : 878218 ; Train Loss : 0.879879 ; Train Acc : 0.825 ; Test Loss : 0.799986 ; Test Acc : 0.804
CNN_width : 52 ; Parameters : 1030026 ; Train Loss : 0.885502 ; Train Acc : 0.824 ; Test Loss : 0.805646 ; Test Acc : 0.806
CNN_width : 56 ; Parameters : 1193930 ; Train Loss : 0.884319 ; Train Acc : 0.824 ; Test Loss : 0.797572 ; Test Acc : 0.811
CNN_width : 60 ; Parameters : 1369930 ; Train Loss : 0.876891 ; Train Acc : 0.826 ; Test Loss : 0.787327 ; Test Acc : 0.820
CNN_width : 64 ; Parameters : 1558026 ; Train Loss : 0.886598 ; Train Acc : 0.823 ; Test Loss : 0.812207 ; Test Acc : 0.813
