Hidden Neurons : 5 ; Parameters : 3985 ; Train Loss : 0.041348 ; Train Acc : 0.614 ; Test Loss : 0.054450 ; Test Acc : 0.539
Hidden Neurons : 7 ; Parameters : 5575 ; Train Loss : 0.023270 ; Train Acc : 0.802 ; Test Loss : 0.044323 ; Test Acc : 0.704
Hidden Neurons : 9 ; Parameters : 7165 ; Train Loss : 0.015882 ; Train Acc : 0.892 ; Test Loss : 0.045058 ; Test Acc : 0.759
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.008450 ; Train Acc : 0.975 ; Test Loss : 0.047422 ; Test Acc : 0.800
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.004775 ; Train Acc : 0.984 ; Test Loss : 0.044568 ; Test Acc : 0.819
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.003385 ; Train Acc : 0.986 ; Test Loss : 0.048450 ; Test Acc : 0.811
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.002623 ; Train Acc : 0.990 ; Test Loss : 0.053405 ; Test Acc : 0.794
Hidden Neurons : 45 ; Parameters : 35875 ; Train Loss : 0.001986 ; Train Acc : 0.990 ; Test Loss : 0.057699 ; Test Acc : 0.781
Hidden Neurons : 47 ; Parameters : 37375 ; Train Loss : 0.001743 ; Train Acc : 0.990 ; Test Loss : 0.061647 ; Test Acc : 0.770
Hidden Neurons : 49 ; Parameters : 38965 ; Train Loss : 0.001671 ; Train Acc : 0.990 ; Test Loss : 0.065345 ; Test Acc : 0.761
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.001570 ; Train Acc : 0.991 ; Test Loss : 0.069088 ; Test Acc : 0.754
Hidden Neurons : 51 ; Parameters : 40555 ; Train Loss : 0.001298 ; Train Acc : 0.991 ; Test Loss : 0.077591 ; Test Acc : 0.742
Hidden Neurons : 53 ; Parameters : 42145 ; Train Loss : 0.001183 ; Train Acc : 0.991 ; Test Loss : 0.085733 ; Test Acc : 0.738
Hidden Neurons : 55 ; Parameters : 43735 ; Train Loss : 0.001130 ; Train Acc : 0.991 ; Test Loss : 0.090364 ; Test Acc : 0.733
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.001100 ; Train Acc : 0.991 ; Test Loss : 0.094338 ; Test Acc : 0.729
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.001070 ; Train Acc : 0.992 ; Test Loss : 0.098238 ; Test Acc : 0.728
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.000945 ; Train Acc : 0.993 ; Test Loss : 0.101211 ; Test Acc : 0.726
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.000710 ; Train Acc : 0.994 ; Test Loss : 0.103969 ; Test Acc : 0.718
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.000567 ; Train Acc : 0.996 ; Test Loss : 0.105885 ; Test Acc : 0.721
