Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.080647 ; Train Acc : 0.216 ; Test Loss : 0.083055 ; Test Acc : 0.205
Hidden Neurons : 5 ; Parameters : 3985 ; Train Loss : 0.042969 ; Train Acc : 0.610 ; Test Loss : 0.054580 ; Test Acc : 0.558
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.009890 ; Train Acc : 0.976 ; Test Loss : 0.031310 ; Test Acc : 0.849
Hidden Neurons : 15 ; Parameters : 11935 ; Train Loss : 0.007377 ; Train Acc : 0.983 ; Test Loss : 0.031648 ; Test Acc : 0.853
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.005604 ; Train Acc : 0.977 ; Test Loss : 0.025472 ; Test Acc : 0.884
Hidden Neurons : 25 ; Parameters : 19885 ; Train Loss : 0.005302 ; Train Acc : 0.984 ; Test Loss : 0.024118 ; Test Acc : 0.889
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.003828 ; Train Acc : 0.989 ; Test Loss : 0.023612 ; Test Acc : 0.891
Hidden Neurons : 35 ; Parameters : 27835 ; Train Loss : 0.003789 ; Train Acc : 0.990 ; Test Loss : 0.023233 ; Test Acc : 0.898
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.004006 ; Train Acc : 0.991 ; Test Loss : 0.022911 ; Test Acc : 0.897
Hidden Neurons : 45 ; Parameters : 35785 ; Train Loss : 0.003349 ; Train Acc : 0.990 ; Test Loss : 0.023448 ; Test Acc : 0.892
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.003120 ; Train Acc : 0.992 ; Test Loss : 0.022743 ; Test Acc : 0.894
Hidden Neurons : 55 ; Parameters : 43735 ; Train Loss : 0.003393 ; Train Acc : 0.994 ; Test Loss : 0.021922 ; Test Acc : 0.901
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.003127 ; Train Acc : 0.992 ; Test Loss : 0.021862 ; Test Acc : 0.902
Hidden Neurons : 65 ; Parameters : 51685 ; Train Loss : 0.002596 ; Train Acc : 0.995 ; Test Loss : 0.022550 ; Test Acc : 0.896
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.002878 ; Train Acc : 0.993 ; Test Loss : 0.022304 ; Test Acc : 0.899
Hidden Neurons : 75 ; Parameters : 59635 ; Train Loss : 0.002668 ; Train Acc : 0.997 ; Test Loss : 0.021116 ; Test Acc : 0.911
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.002760 ; Train Acc : 0.995 ; Test Loss : 0.021801 ; Test Acc : 0.901
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.002344 ; Train Acc : 0.997 ; Test Loss : 0.021590 ; Test Acc : 0.904
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.002324 ; Train Acc : 0.997 ; Test Loss : 0.021004 ; Test Acc : 0.907
Hidden Neurons : 120 ; Parameters : 95410 ; Train Loss : 0.002211 ; Train Acc : 0.998 ; Test Loss : 0.020292 ; Test Acc : 0.909
Hidden Neurons : 150 ; Parameters : 119260 ; Train Loss : 0.001963 ; Train Acc : 0.998 ; Test Loss : 0.020175 ; Test Acc : 0.917
Hidden Neurons : 200 ; Parameters : 159010 ; Train Loss : 0.001743 ; Train Acc : 0.999 ; Test Loss : 0.019889 ; Test Acc : 0.922
