Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.086638 ; Train Acc : 0.173 ; Test Loss : 0.087265 ; Test Acc : 0.179
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.054220 ; Train Acc : 0.728 ; Test Loss : 0.056610 ; Test Acc : 0.696
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.050194 ; Train Acc : 0.755 ; Test Loss : 0.053115 ; Test Acc : 0.730
Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.089978 ; Train Acc : 0.107 ; Test Loss : 0.090011 ; Test Acc : 0.098
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.055296 ; Train Acc : 0.704 ; Test Loss : 0.056437 ; Test Acc : 0.703
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.049917 ; Train Acc : 0.793 ; Test Loss : 0.052908 ; Test Acc : 0.757
Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.089961 ; Train Acc : 0.106 ; Test Loss : 0.089992 ; Test Acc : 0.114
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.055800 ; Train Acc : 0.730 ; Test Loss : 0.057741 ; Test Acc : 0.708
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.050721 ; Train Acc : 0.788 ; Test Loss : 0.053608 ; Test Acc : 0.760
Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.089984 ; Train Acc : 0.101 ; Test Loss : 0.089995 ; Test Acc : 0.103
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.025231 ; Train Acc : 0.892 ; Test Loss : 0.029223 ; Test Acc : 0.860
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.026123 ; Train Acc : 0.909 ; Test Loss : 0.030482 ; Test Acc : 0.879
Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.082737 ; Train Acc : 0.185 ; Test Loss : 0.083296 ; Test Acc : 0.188
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.028832 ; Train Acc : 0.881 ; Test Loss : 0.031557 ; Test Acc : 0.859
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.025431 ; Train Acc : 0.906 ; Test Loss : 0.029292 ; Test Acc : 0.876
Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.089985 ; Train Acc : 0.106 ; Test Loss : 0.089989 ; Test Acc : 0.114
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.026732 ; Train Acc : 0.893 ; Test Loss : 0.030270 ; Test Acc : 0.859
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.025665 ; Train Acc : 0.910 ; Test Loss : 0.029810 ; Test Acc : 0.880
