Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.089960 ; Train Acc : 0.111 ; Test Loss : 0.089983 ; Test Acc : 0.114
Hidden Neurons : 5 ; Parameters : 3985 ; Train Loss : 0.040862 ; Train Acc : 0.613 ; Test Loss : 0.060091 ; Test Acc : 0.541
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.007412 ; Train Acc : 0.977 ; Test Loss : 0.047888 ; Test Acc : 0.793
Hidden Neurons : 15 ; Parameters : 11935 ; Train Loss : 0.005224 ; Train Acc : 0.977 ; Test Loss : 0.037119 ; Test Acc : 0.836
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.003983 ; Train Acc : 0.981 ; Test Loss : 0.042331 ; Test Acc : 0.810
Hidden Neurons : 25 ; Parameters : 19885 ; Train Loss : 0.003115 ; Train Acc : 0.987 ; Test Loss : 0.032967 ; Test Acc : 0.853
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.002202 ; Train Acc : 0.990 ; Test Loss : 0.033855 ; Test Acc : 0.856
Hidden Neurons : 35 ; Parameters : 27835 ; Train Loss : 0.001382 ; Train Acc : 0.992 ; Test Loss : 0.033635 ; Test Acc : 0.851
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.001446 ; Train Acc : 0.991 ; Test Loss : 0.031774 ; Test Acc : 0.866
Hidden Neurons : 45 ; Parameters : 35785 ; Train Loss : 0.001109 ; Train Acc : 0.994 ; Test Loss : 0.030081 ; Test Acc : 0.866
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.001159 ; Train Acc : 0.994 ; Test Loss : 0.030591 ; Test Acc : 0.866
Hidden Neurons : 55 ; Parameters : 43735 ; Train Loss : 0.000781 ; Train Acc : 0.996 ; Test Loss : 0.029733 ; Test Acc : 0.872
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.000771 ; Train Acc : 0.996 ; Test Loss : 0.028751 ; Test Acc : 0.875
Hidden Neurons : 65 ; Parameters : 51685 ; Train Loss : 0.000798 ; Train Acc : 0.996 ; Test Loss : 0.029034 ; Test Acc : 0.873
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.000914 ; Train Acc : 0.996 ; Test Loss : 0.027304 ; Test Acc : 0.880
Hidden Neurons : 75 ; Parameters : 59635 ; Train Loss : 0.000855 ; Train Acc : 0.995 ; Test Loss : 0.026155 ; Test Acc : 0.883
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.000818 ; Train Acc : 0.996 ; Test Loss : 0.027884 ; Test Acc : 0.878
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.000675 ; Train Acc : 0.997 ; Test Loss : 0.026543 ; Test Acc : 0.889
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.000499 ; Train Acc : 0.999 ; Test Loss : 0.025320 ; Test Acc : 0.892
Hidden Neurons : 120 ; Parameters : 95410 ; Train Loss : 0.000455 ; Train Acc : 0.998 ; Test Loss : 0.025793 ; Test Acc : 0.888
Hidden Neurons : 150 ; Parameters : 119260 ; Train Loss : 0.000438 ; Train Acc : 1.000 ; Test Loss : 0.023010 ; Test Acc : 0.905
Hidden Neurons : 200 ; Parameters : 159010 ; Train Loss : 0.000374 ; Train Acc : 0.999 ; Test Loss : 0.022640 ; Test Acc : 0.910
Hidden Neurons : 400 ; Parameters : 318010 ; Train Loss : 0.000300 ; Train Acc : 1.000 ; Test Loss : 0.023173 ; Test Acc : 0.923
Hidden Neurons : 700 ; Parameters : 556510 ; Train Loss : 0.000163 ; Train Acc : 1.000 ; Test Loss : 0.026390 ; Test Acc : 0.918
Hidden Neurons : 1000 ; Parameters : 795010 ; Train Loss : 0.000018 ; Train Acc : 1.000 ; Test Loss : 0.038439 ; Test Acc : 0.909
