Hidden Neurons,Epoch,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,100,805,1.9531003747667586,0.25325,1.8118179687269174,0.2784
1,200,805,1.9316740281998166,0.263,1.8081668569783496,0.2688
1,300,805,1.9248965013594854,0.271,1.8110684824597305,0.2711
1,400,805,1.9217974382733543,0.2755,1.813147740758908,0.2688
1,500,805,1.9155376317009094,0.27225,1.8186823235955207,0.2684
1,600,805,1.915966790819925,0.275,1.8131290871626253,0.268
1,700,805,1.9128274501316131,0.26975,1.8291675232018634,0.2694
1,800,805,1.91188345068977,0.2705,1.813828857081711,0.269
1,900,805,1.911256716364906,0.29175,1.821154481286456,0.274
1,1000,805,1.9072102024441673,0.29525,1.824172339621623,0.275
1,1100,805,1.907767380986895,0.303,1.8305310747426027,0.2755
1,1200,805,1.9056498569155496,0.295,1.8291501034596922,0.2745
1,1300,805,1.9061474156758142,0.29475,1.8217660484799914,0.275
1,1400,805,1.9076064843980094,0.2945,1.8236777607802372,0.2758
1,1500,805,1.9053399543913583,0.296,1.8308833928624535,0.2755
1,1600,805,1.906465170875428,0.29825,1.8315068840221236,0.2761
1,1700,805,1.9036313768417117,0.30125,1.8400593646772347,0.2726
1,1800,805,1.9025085161602686,0.299,1.8239657066430255,0.2799
1,1900,805,1.9033016042103843,0.3025,1.8275389656139787,0.2787
1,2000,805,1.9018520552014548,0.29425,1.8303559221279848,0.2778
2,100,1600,1.6080796586142645,0.4845,1.3274892652110688,0.514
2,200,1600,1.565628415062314,0.50175,1.292333694020654,0.5476
2,300,1600,1.5470374671239702,0.5075,1.2920473684930498,0.5457
2,400,1600,1.5391609101068406,0.514,1.3041259771699358,0.5421
2,500,1600,1.5280821418005324,0.5135,1.3000291787135374,0.5391
2,600,1600,1.5222825568819802,0.52,1.304912597130818,0.5389
2,700,1600,1.5213924854520768,0.51625,1.3045808707073236,0.5375
2,800,1600,1.5197103231672258,0.52025,1.3228904578336484,0.5322
2,900,1600,1.5182908603123255,0.51925,1.3203381353123174,0.5304
2,1000,1600,1.512831897962661,0.5225,1.3134270352163133,0.5292
2,1100,1600,1.5111357862987216,0.5235,1.3224006769763437,0.5287
2,1200,1600,1.5087604636237735,0.52425,1.3289101366784162,0.5219
2,1300,1600,1.5072556601630316,0.52275,1.3237943026670225,0.5298
2,1400,1600,1.506717216400873,0.5235,1.3505815556094904,0.5214
2,1500,1600,1.50217220329103,0.52125,1.3259966851799352,0.5265
2,1600,1600,1.505106905150035,0.5235,1.3308239043897885,0.5226
2,1700,1600,1.5033649395382593,0.52525,1.3321887300272657,0.5211
2,1800,1600,1.4993624403363182,0.5225,1.3259047095183354,0.5212
2,1900,1600,1.4990287016308497,0.5265,1.3456248234791361,0.5189
2,2000,1600,1.4965451388132005,0.529,1.3284936535889935,0.5224
4,100,3190,1.2203732520814925,0.6725,0.8719323490076004,0.7351
4,200,3190,1.1409372914405096,0.688,0.8790080684005834,0.7348
