Hidden Neurons : 5 ; Parameters : 3985 ; Train Loss : 0.050149 ; Train Acc : 0.520 ; Test Loss : 0.063108 ; Test Acc : 0.456
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.009017 ; Train Acc : 0.979 ; Test Loss : 0.046640 ; Test Acc : 0.805
Hidden Neurons : 15 ; Parameters : 11935 ; Train Loss : 0.004910 ; Train Acc : 0.986 ; Test Loss : 0.049603 ; Test Acc : 0.803
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.003695 ; Train Acc : 0.988 ; Test Loss : 0.054287 ; Test Acc : 0.795
Hidden Neurons : 25 ; Parameters : 19885 ; Train Loss : 0.002988 ; Train Acc : 0.989 ; Test Loss : 0.061012 ; Test Acc : 0.780
Hidden Neurons : 27 ; Parameters : 21475 ; Train Loss : 0.002473 ; Train Acc : 0.991 ; Test Loss : 0.070915 ; Test Acc : 0.772
Hidden Neurons : 29 ; Parameters : 23065 ; Train Loss : 0.001895 ; Train Acc : 0.993 ; Test Loss : 0.081067 ; Test Acc : 0.766
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.001650 ; Train Acc : 0.994 ; Test Loss : 0.097155 ; Test Acc : 0.753
Hidden Neurons : 35 ; Parameters : 27835 ; Train Loss : 0.002369 ; Train Acc : 0.993 ; Test Loss : 0.028355 ; Test Acc : 0.872
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.002050 ; Train Acc : 0.994 ; Test Loss : 0.027282 ; Test Acc : 0.878
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.001962 ; Train Acc : 0.993 ; Test Loss : 0.027053 ; Test Acc : 0.878
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.001731 ; Train Acc : 0.995 ; Test Loss : 0.025198 ; Test Acc : 0.892
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.001646 ; Train Acc : 0.996 ; Test Loss : 0.024439 ; Test Acc : 0.892
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.001332 ; Train Acc : 0.996 ; Test Loss : 0.024538 ; Test Acc : 0.889
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.001200 ; Train Acc : 0.998 ; Test Loss : 0.023422 ; Test Acc : 0.901
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.001067 ; Train Acc : 0.997 ; Test Loss : 0.023642 ; Test Acc : 0.899
Hidden Neurons : 110 ; Parameters : 87460 ; Train Loss : 0.001114 ; Train Acc : 0.998 ; Test Loss : 0.022888 ; Test Acc : 0.902
Hidden Neurons : 130 ; Parameters : 103360 ; Train Loss : 0.000954 ; Train Acc : 0.998 ; Test Loss : 0.022110 ; Test Acc : 0.907
Hidden Neurons : 150 ; Parameters : 119260 ; Train Loss : 0.000890 ; Train Acc : 0.999 ; Test Loss : 0.022042 ; Test Acc : 0.908
Hidden Neurons : 200 ; Parameters : 159010 ; Train Loss : 0.001033 ; Train Acc : 0.998 ; Test Loss : 0.021655 ; Test Acc : 0.910
Hidden Neurons : 400 ; Parameters : 318010 ; Train Loss : 0.000674 ; Train Acc : 1.000 ; Test Loss : 0.022936 ; Test Acc : 0.922
Hidden Neurons : 600 ; Parameters : 477010 ; Train Loss : 0.000342 ; Train Acc : 1.000 ; Test Loss : 0.028452 ; Test Acc : 0.924
Hidden Neurons : 800 ; Parameters : 636010 ; Train Loss : 0.000186 ; Train Acc : 1.000 ; Test Loss : 0.031548 ; Test Acc : 0.919
Hidden Neurons : 1000 ; Parameters : 795010 ; Train Loss : 0.000110 ; Train Acc : 1.000 ; Test Loss : 0.035777 ; Test Acc : 0.913
