Hidden Neurons : 5 ; Parameters : 3985 ; Train Loss : 0.050661 ; Train Acc : 0.516 ; Test Loss : 0.063365 ; Test Acc : 0.464
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.007571 ; Train Acc : 0.979 ; Test Loss : 0.045322 ; Test Acc : 0.810
Hidden Neurons : 15 ; Parameters : 11935 ; Train Loss : 0.005824 ; Train Acc : 0.983 ; Test Loss : 0.053209 ; Test Acc : 0.796
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.004491 ; Train Acc : 0.985 ; Test Loss : 0.061942 ; Test Acc : 0.784
Hidden Neurons : 25 ; Parameters : 19885 ; Train Loss : 0.003825 ; Train Acc : 0.986 ; Test Loss : 0.069860 ; Test Acc : 0.772
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.003297 ; Train Acc : 0.987 ; Test Loss : 0.078868 ; Test Acc : 0.763
Hidden Neurons : 35 ; Parameters : 27835 ; Train Loss : 0.002820 ; Train Acc : 0.988 ; Test Loss : 0.088006 ; Test Acc : 0.752
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.002399 ; Train Acc : 0.988 ; Test Loss : 0.095657 ; Test Acc : 0.746
Hidden Neurons : 45 ; Parameters : 35785 ; Train Loss : 0.002125 ; Train Acc : 0.989 ; Test Loss : 0.102441 ; Test Acc : 0.736
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.001763 ; Train Acc : 0.991 ; Test Loss : 0.109216 ; Test Acc : 0.726
Hidden Neurons : 55 ; Parameters : 43735 ; Train Loss : 0.001566 ; Train Acc : 0.992 ; Test Loss : 0.115489 ; Test Acc : 0.722
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.001450 ; Train Acc : 0.993 ; Test Loss : 0.120458 ; Test Acc : 0.717
Hidden Neurons : 65 ; Parameters : 51685 ; Train Loss : 0.001240 ; Train Acc : 0.993 ; Test Loss : 0.125269 ; Test Acc : 0.713
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.001026 ; Train Acc : 0.994 ; Test Loss : 0.130087 ; Test Acc : 0.708
Hidden Neurons : 75 ; Parameters : 59635 ; Train Loss : 0.000930 ; Train Acc : 0.994 ; Test Loss : 0.134065 ; Test Acc : 0.702
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.000688 ; Train Acc : 0.996 ; Test Loss : 0.137822 ; Test Acc : 0.698
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.000494 ; Train Acc : 0.998 ; Test Loss : 0.141257 ; Test Acc : 0.697
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.000396 ; Train Acc : 0.998 ; Test Loss : 0.144772 ; Test Acc : 0.694
