Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.082885 ; Train Acc : 0.189 ; Test Loss : 0.083879 ; Test Acc : 0.185
Hidden Neurons : 5 ; Parameters : 3985 ; Train Loss : 0.055480 ; Train Acc : 0.502 ; Test Loss : 0.062360 ; Test Acc : 0.495
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.036105 ; Train Acc : 0.740 ; Test Loss : 0.045573 ; Test Acc : 0.716
Hidden Neurons : 15 ; Parameters : 11935 ; Train Loss : 0.029778 ; Train Acc : 0.830 ; Test Loss : 0.041531 ; Test Acc : 0.770
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.022675 ; Train Acc : 0.847 ; Test Loss : 0.041024 ; Test Acc : 0.795
Hidden Neurons : 25 ; Parameters : 19885 ; Train Loss : 0.022580 ; Train Acc : 0.862 ; Test Loss : 0.039514 ; Test Acc : 0.791
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.020818 ; Train Acc : 0.857 ; Test Loss : 0.041128 ; Test Acc : 0.803
Hidden Neurons : 35 ; Parameters : 27835 ; Train Loss : 0.019361 ; Train Acc : 0.872 ; Test Loss : 0.041766 ; Test Acc : 0.790
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.018464 ; Train Acc : 0.877 ; Test Loss : 0.041927 ; Test Acc : 0.789
Hidden Neurons : 45 ; Parameters : 35785 ; Train Loss : 0.017111 ; Train Acc : 0.888 ; Test Loss : 0.042808 ; Test Acc : 0.794
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.017138 ; Train Acc : 0.894 ; Test Loss : 0.040070 ; Test Acc : 0.803
Hidden Neurons : 55 ; Parameters : 43735 ; Train Loss : 0.017559 ; Train Acc : 0.884 ; Test Loss : 0.040352 ; Test Acc : 0.806
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.016404 ; Train Acc : 0.902 ; Test Loss : 0.040646 ; Test Acc : 0.801
Hidden Neurons : 65 ; Parameters : 51685 ; Train Loss : 0.016238 ; Train Acc : 0.898 ; Test Loss : 0.042230 ; Test Acc : 0.795
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.015773 ; Train Acc : 0.904 ; Test Loss : 0.040913 ; Test Acc : 0.807
Hidden Neurons : 75 ; Parameters : 59635 ; Train Loss : 0.015355 ; Train Acc : 0.903 ; Test Loss : 0.042515 ; Test Acc : 0.796
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.015130 ; Train Acc : 0.917 ; Test Loss : 0.041704 ; Test Acc : 0.804
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.015402 ; Train Acc : 0.905 ; Test Loss : 0.039216 ; Test Acc : 0.823
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.014808 ; Train Acc : 0.919 ; Test Loss : 0.039098 ; Test Acc : 0.824
Hidden Neurons : 120 ; Parameters : 95410 ; Train Loss : 0.012935 ; Train Acc : 0.940 ; Test Loss : 0.043788 ; Test Acc : 0.807
Hidden Neurons : 150 ; Parameters : 119260 ; Train Loss : 0.011696 ; Train Acc : 0.957 ; Test Loss : 0.044054 ; Test Acc : 0.808
Hidden Neurons : 200 ; Parameters : 159010 ; Train Loss : 0.009226 ; Train Acc : 0.977 ; Test Loss : 0.049847 ; Test Acc : 0.797
