Hidden Neurons : 2 ; Parameters : 1600 ; Train Loss : 0.789805 ; Train Acc : 0.741 ; Test Loss : 1.158382 ; Test Acc : 0.636
Hidden Neurons : 4 ; Parameters : 3190 ; Train Loss : 0.174329 ; Train Acc : 0.956 ; Test Loss : 0.867134 ; Test Acc : 0.803
Hidden Neurons : 6 ; Parameters : 4780 ; Train Loss : 0.023215 ; Train Acc : 1.000 ; Test Loss : 0.878093 ; Test Acc : 0.863
Hidden Neurons : 8 ; Parameters : 6370 ; Train Loss : 0.010375 ; Train Acc : 1.000 ; Test Loss : 0.722583 ; Test Acc : 0.879
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.006784 ; Train Acc : 1.000 ; Test Loss : 0.701613 ; Test Acc : 0.887
Hidden Neurons : 12 ; Parameters : 9550 ; Train Loss : 0.005918 ; Train Acc : 1.000 ; Test Loss : 0.648114 ; Test Acc : 0.893
Hidden Neurons : 14 ; Parameters : 11140 ; Train Loss : 0.005105 ; Train Acc : 1.000 ; Test Loss : 0.579493 ; Test Acc : 0.898
Hidden Neurons : 16 ; Parameters : 12730 ; Train Loss : 0.005109 ; Train Acc : 1.000 ; Test Loss : 0.588077 ; Test Acc : 0.893
Hidden Neurons : 18 ; Parameters : 14320 ; Train Loss : 0.004039 ; Train Acc : 1.000 ; Test Loss : 0.511394 ; Test Acc : 0.909
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.003907 ; Train Acc : 1.000 ; Test Loss : 0.511841 ; Test Acc : 0.904
Hidden Neurons : 25 ; Parameters : 19885 ; Train Loss : 0.003644 ; Train Acc : 1.000 ; Test Loss : 0.484655 ; Test Acc : 0.908
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.003345 ; Train Acc : 1.000 ; Test Loss : 0.466803 ; Test Acc : 0.909
Hidden Neurons : 35 ; Parameters : 27835 ; Train Loss : 0.003301 ; Train Acc : 1.000 ; Test Loss : 0.435150 ; Test Acc : 0.912
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.002922 ; Train Acc : 1.000 ; Test Loss : 0.397464 ; Test Acc : 0.920
Hidden Neurons : 45 ; Parameters : 35785 ; Train Loss : 0.003104 ; Train Acc : 1.000 ; Test Loss : 0.433303 ; Test Acc : 0.915
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.002716 ; Train Acc : 1.000 ; Test Loss : 0.402393 ; Test Acc : 0.917
Hidden Neurons : 55 ; Parameters : 43735 ; Train Loss : 0.002564 ; Train Acc : 1.000 ; Test Loss : 0.354369 ; Test Acc : 0.923
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.002623 ; Train Acc : 1.000 ; Test Loss : 0.351191 ; Test Acc : 0.924
Hidden Neurons : 65 ; Parameters : 51685 ; Train Loss : 0.002578 ; Train Acc : 1.000 ; Test Loss : 0.337216 ; Test Acc : 0.926
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.002627 ; Train Acc : 1.000 ; Test Loss : 0.374888 ; Test Acc : 0.921
Hidden Neurons : 75 ; Parameters : 59635 ; Train Loss : 0.002506 ; Train Acc : 1.000 ; Test Loss : 0.356095 ; Test Acc : 0.922
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.002512 ; Train Acc : 1.000 ; Test Loss : 0.361866 ; Test Acc : 0.921
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.002449 ; Train Acc : 1.000 ; Test Loss : 0.339345 ; Test Acc : 0.924
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.002375 ; Train Acc : 1.000 ; Test Loss : 0.328570 ; Test Acc : 0.927
Hidden Neurons : 120 ; Parameters : 95410 ; Train Loss : 0.002260 ; Train Acc : 1.000 ; Test Loss : 0.319219 ; Test Acc : 0.927
Hidden Neurons : 150 ; Parameters : 119260 ; Train Loss : 0.002191 ; Train Acc : 1.000 ; Test Loss : 0.312586 ; Test Acc : 0.928
Hidden Neurons : 200 ; Parameters : 159010 ; Train Loss : 0.002090 ; Train Acc : 1.000 ; Test Loss : 0.305560 ; Test Acc : 0.931
Hidden Neurons : 400 ; Parameters : 318010 ; Train Loss : 0.001817 ; Train Acc : 1.000 ; Test Loss : 0.280962 ; Test Acc : 0.931
