Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.081813 ; Train Acc : 0.214 ; Test Loss : 0.082412 ; Test Acc : 0.209
Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.081587 ; Train Acc : 0.205 ; Test Loss : 0.081837 ; Test Acc : 0.207
Hidden Neurons : 5 ; Parameters : 3985 ; Train Loss : 0.058875 ; Train Acc : 0.558 ; Test Loss : 0.060918 ; Test Acc : 0.538
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.016838 ; Train Acc : 0.936 ; Test Loss : 0.025954 ; Test Acc : 0.873
Hidden Neurons : 15 ; Parameters : 11935 ; Train Loss : 0.012048 ; Train Acc : 0.961 ; Test Loss : 0.022216 ; Test Acc : 0.894
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.009133 ; Train Acc : 0.972 ; Test Loss : 0.021523 ; Test Acc : 0.896
Hidden Neurons : 25 ; Parameters : 19885 ; Train Loss : 0.008299 ; Train Acc : 0.977 ; Test Loss : 0.021879 ; Test Acc : 0.897
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.005718 ; Train Acc : 0.988 ; Test Loss : 0.021290 ; Test Acc : 0.906
Hidden Neurons : 35 ; Parameters : 27835 ; Train Loss : 0.005317 ; Train Acc : 0.988 ; Test Loss : 0.021417 ; Test Acc : 0.901
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.004441 ; Train Acc : 0.989 ; Test Loss : 0.022339 ; Test Acc : 0.900
Hidden Neurons : 45 ; Parameters : 35785 ; Train Loss : 0.004072 ; Train Acc : 0.988 ; Test Loss : 0.022735 ; Test Acc : 0.895
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.003241 ; Train Acc : 0.993 ; Test Loss : 0.021927 ; Test Acc : 0.902
Hidden Neurons : 55 ; Parameters : 43735 ; Train Loss : 0.002837 ; Train Acc : 0.992 ; Test Loss : 0.023454 ; Test Acc : 0.898
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.002501 ; Train Acc : 0.994 ; Test Loss : 0.023504 ; Test Acc : 0.898
Hidden Neurons : 65 ; Parameters : 51685 ; Train Loss : 0.002122 ; Train Acc : 0.995 ; Test Loss : 0.022870 ; Test Acc : 0.901
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.001871 ; Train Acc : 0.998 ; Test Loss : 0.024093 ; Test Acc : 0.892
Hidden Neurons : 75 ; Parameters : 59635 ; Train Loss : 0.001816 ; Train Acc : 0.996 ; Test Loss : 0.023897 ; Test Acc : 0.892
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.001453 ; Train Acc : 0.995 ; Test Loss : 0.024064 ; Test Acc : 0.893
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.001547 ; Train Acc : 0.996 ; Test Loss : 0.022961 ; Test Acc : 0.902
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.000895 ; Train Acc : 0.998 ; Test Loss : 0.023854 ; Test Acc : 0.897
Hidden Neurons : 120 ; Parameters : 95410 ; Train Loss : 0.000682 ; Train Acc : 0.998 ; Test Loss : 0.025099 ; Test Acc : 0.889
Hidden Neurons : 150 ; Parameters : 119260 ; Train Loss : 0.000402 ; Train Acc : 0.999 ; Test Loss : 0.022326 ; Test Acc : 0.907
Hidden Neurons : 200 ; Parameters : 159010 ; Train Loss : 0.000285 ; Train Acc : 0.999 ; Test Loss : 0.023295 ; Test Acc : 0.905
