Hidden Neurons : 1 ; Train Loss : 0.079627 ; Train Acc : 0.216 ; Test Loss : 0.079644 ; Test Acc : 0.212
Hidden Neurons : 5 ; Train Loss : 0.053373 ; Train Acc : 0.507 ; Test Loss : 0.056995 ; Test Acc : 0.475
Hidden Neurons : 10 ; Train Loss : 0.014506 ; Train Acc : 0.950 ; Test Loss : 0.025651 ; Test Acc : 0.876
Hidden Neurons : 15 ; Train Loss : 0.011847 ; Train Acc : 0.963 ; Test Loss : 0.026250 ; Test Acc : 0.870
Hidden Neurons : 20 ; Train Loss : 0.008860 ; Train Acc : 0.974 ; Test Loss : 0.025385 ; Test Acc : 0.877
Hidden Neurons : 25 ; Train Loss : 0.007377 ; Train Acc : 0.981 ; Test Loss : 0.026350 ; Test Acc : 0.871
Hidden Neurons : 30 ; Train Loss : 0.006423 ; Train Acc : 0.983 ; Test Loss : 0.027646 ; Test Acc : 0.870
Hidden Neurons : 35 ; Train Loss : 0.005744 ; Train Acc : 0.985 ; Test Loss : 0.028824 ; Test Acc : 0.867
Hidden Neurons : 40 ; Train Loss : 0.005175 ; Train Acc : 0.985 ; Test Loss : 0.029896 ; Test Acc : 0.863
Hidden Neurons : 45 ; Train Loss : 0.004742 ; Train Acc : 0.986 ; Test Loss : 0.030978 ; Test Acc : 0.861
Hidden Neurons : 50 ; Train Loss : 0.004185 ; Train Acc : 0.987 ; Test Loss : 0.031729 ; Test Acc : 0.858
Hidden Neurons : 55 ; Train Loss : 0.003746 ; Train Acc : 0.988 ; Test Loss : 0.032559 ; Test Acc : 0.856
Hidden Neurons : 60 ; Train Loss : 0.003488 ; Train Acc : 0.988 ; Test Loss : 0.033449 ; Test Acc : 0.854
Hidden Neurons : 65 ; Train Loss : 0.003184 ; Train Acc : 0.989 ; Test Loss : 0.034386 ; Test Acc : 0.852
Hidden Neurons : 70 ; Train Loss : 0.003005 ; Train Acc : 0.989 ; Test Loss : 0.035546 ; Test Acc : 0.851
Hidden Neurons : 75 ; Train Loss : 0.002796 ; Train Acc : 0.990 ; Test Loss : 0.036218 ; Test Acc : 0.848
Hidden Neurons : 80 ; Train Loss : 0.002633 ; Train Acc : 0.990 ; Test Loss : 0.037214 ; Test Acc : 0.846
Hidden Neurons : 85 ; Train Loss : 0.002478 ; Train Acc : 0.990 ; Test Loss : 0.038127 ; Test Acc : 0.844
Hidden Neurons : 90 ; Train Loss : 0.002352 ; Train Acc : 0.991 ; Test Loss : 0.038821 ; Test Acc : 0.844
Hidden Neurons : 95 ; Train Loss : 0.002223 ; Train Acc : 0.991 ; Test Loss : 0.039770 ; Test Acc : 0.842
Hidden Neurons : 100 ; Train Loss : 0.002198 ; Train Acc : 0.992 ; Test Loss : 0.040072 ; Test Acc : 0.839
Hidden Neurons : 110 ; Train Loss : 0.002094 ; Train Acc : 0.992 ; Test Loss : 0.040959 ; Test Acc : 0.837
Hidden Neurons : 120 ; Train Loss : 0.001944 ; Train Acc : 0.993 ; Test Loss : 0.041430 ; Test Acc : 0.837
Hidden Neurons : 130 ; Train Loss : 0.001847 ; Train Acc : 0.993 ; Test Loss : 0.042109 ; Test Acc : 0.834
Hidden Neurons : 140 ; Train Loss : 0.001752 ; Train Acc : 0.993 ; Test Loss : 0.042558 ; Test Acc : 0.833
Hidden Neurons : 150 ; Train Loss : 0.001686 ; Train Acc : 0.993 ; Test Loss : 0.042953 ; Test Acc : 0.831
Hidden Neurons : 160 ; Train Loss : 0.001593 ; Train Acc : 0.994 ; Test Loss : 0.043546 ; Test Acc : 0.831
Hidden Neurons : 170 ; Train Loss : 0.001544 ; Train Acc : 0.994 ; Test Loss : 0.043955 ; Test Acc : 0.829
Hidden Neurons : 180 ; Train Loss : 0.001472 ; Train Acc : 0.994 ; Test Loss : 0.044475 ; Test Acc : 0.827
Hidden Neurons : 190 ; Train Loss : 0.001428 ; Train Acc : 0.996 ; Test Loss : 0.044901 ; Test Acc : 0.826
Hidden Neurons : 200 ; Train Loss : 0.001278 ; Train Acc : 0.996 ; Test Loss : 0.045418 ; Test Acc : 0.826
