Hidden Neurons : 1 ; Train Loss : 0.089967 ; Train Acc : 0.111 ; Test Loss : 0.089986 ; Test Acc : 0.114
Hidden Neurons : 5 ; Train Loss : 0.054609 ; Train Acc : 0.505 ; Test Loss : 0.057797 ; Test Acc : 0.484
Hidden Neurons : 10 ; Train Loss : 0.021348 ; Train Acc : 0.858 ; Test Loss : 0.029683 ; Test Acc : 0.804
Hidden Neurons : 20 ; Train Loss : 0.010505 ; Train Acc : 0.967 ; Test Loss : 0.022849 ; Test Acc : 0.889
Hidden Neurons : 30 ; Train Loss : 0.008434 ; Train Acc : 0.977 ; Test Loss : 0.023983 ; Test Acc : 0.886
Hidden Neurons : 40 ; Train Loss : 0.006833 ; Train Acc : 0.983 ; Test Loss : 0.025250 ; Test Acc : 0.884
Hidden Neurons : 45 ; Train Loss : 0.005600 ; Train Acc : 0.986 ; Test Loss : 0.026228 ; Test Acc : 0.878
Hidden Neurons : 47 ; Train Loss : 0.004743 ; Train Acc : 0.989 ; Test Loss : 0.027515 ; Test Acc : 0.877
Hidden Neurons : 49 ; Train Loss : 0.004167 ; Train Acc : 0.990 ; Test Loss : 0.028821 ; Test Acc : 0.871
Hidden Neurons : 50 ; Train Loss : 0.003732 ; Train Acc : 0.990 ; Test Loss : 0.030091 ; Test Acc : 0.864
Hidden Neurons : 51 ; Train Loss : 0.003327 ; Train Acc : 0.990 ; Test Loss : 0.031635 ; Test Acc : 0.862
Hidden Neurons : 53 ; Train Loss : 0.002966 ; Train Acc : 0.990 ; Test Loss : 0.032717 ; Test Acc : 0.858
Hidden Neurons : 55 ; Train Loss : 0.002718 ; Train Acc : 0.990 ; Test Loss : 0.033945 ; Test Acc : 0.855
Hidden Neurons : 60 ; Train Loss : 0.002616 ; Train Acc : 0.991 ; Test Loss : 0.035304 ; Test Acc : 0.852
Hidden Neurons : 70 ; Train Loss : 0.002285 ; Train Acc : 0.993 ; Test Loss : 0.036574 ; Test Acc : 0.850
Hidden Neurons : 80 ; Train Loss : 0.002059 ; Train Acc : 0.994 ; Test Loss : 0.037473 ; Test Acc : 0.845
Hidden Neurons : 90 ; Train Loss : 0.001882 ; Train Acc : 0.994 ; Test Loss : 0.038416 ; Test Acc : 0.845
Hidden Neurons : 100 ; Train Loss : 0.001707 ; Train Acc : 0.994 ; Test Loss : 0.039719 ; Test Acc : 0.840
