Hidden Neurons : 1 ; Parameters : 805 ; Train Loss : 0.083927 ; Train Acc : 0.194 ; Test Loss : 0.083515 ; Test Acc : 0.228
Hidden Neurons : 5 ; Parameters : 3985 ; Train Loss : 0.054238 ; Train Acc : 0.518 ; Test Loss : 0.061363 ; Test Acc : 0.514
Hidden Neurons : 10 ; Parameters : 7960 ; Train Loss : 0.027499 ; Train Acc : 0.808 ; Test Loss : 0.046170 ; Test Acc : 0.757
Hidden Neurons : 15 ; Parameters : 11935 ; Train Loss : 0.026257 ; Train Acc : 0.814 ; Test Loss : 0.044610 ; Test Acc : 0.760
Hidden Neurons : 20 ; Parameters : 15910 ; Train Loss : 0.021933 ; Train Acc : 0.846 ; Test Loss : 0.045967 ; Test Acc : 0.775
Hidden Neurons : 25 ; Parameters : 19885 ; Train Loss : 0.021123 ; Train Acc : 0.851 ; Test Loss : 0.049217 ; Test Acc : 0.750
Hidden Neurons : 30 ; Parameters : 23860 ; Train Loss : 0.018948 ; Train Acc : 0.864 ; Test Loss : 0.048287 ; Test Acc : 0.760
Hidden Neurons : 35 ; Parameters : 27835 ; Train Loss : 0.017101 ; Train Acc : 0.867 ; Test Loss : 0.050076 ; Test Acc : 0.764
Hidden Neurons : 40 ; Parameters : 31810 ; Train Loss : 0.017166 ; Train Acc : 0.876 ; Test Loss : 0.046525 ; Test Acc : 0.775
Hidden Neurons : 45 ; Parameters : 35785 ; Train Loss : 0.017228 ; Train Acc : 0.886 ; Test Loss : 0.047063 ; Test Acc : 0.763
Hidden Neurons : 50 ; Parameters : 39760 ; Train Loss : 0.016331 ; Train Acc : 0.893 ; Test Loss : 0.047491 ; Test Acc : 0.758
Hidden Neurons : 55 ; Parameters : 43735 ; Train Loss : 0.015398 ; Train Acc : 0.898 ; Test Loss : 0.044583 ; Test Acc : 0.785
Hidden Neurons : 60 ; Parameters : 47710 ; Train Loss : 0.014518 ; Train Acc : 0.910 ; Test Loss : 0.046571 ; Test Acc : 0.781
Hidden Neurons : 65 ; Parameters : 51685 ; Train Loss : 0.014863 ; Train Acc : 0.909 ; Test Loss : 0.046062 ; Test Acc : 0.778
Hidden Neurons : 70 ; Parameters : 55660 ; Train Loss : 0.014416 ; Train Acc : 0.895 ; Test Loss : 0.046290 ; Test Acc : 0.770
Hidden Neurons : 75 ; Parameters : 59635 ; Train Loss : 0.013086 ; Train Acc : 0.920 ; Test Loss : 0.047450 ; Test Acc : 0.776
Hidden Neurons : 80 ; Parameters : 63610 ; Train Loss : 0.013462 ; Train Acc : 0.922 ; Test Loss : 0.045975 ; Test Acc : 0.783
Hidden Neurons : 90 ; Parameters : 71560 ; Train Loss : 0.012169 ; Train Acc : 0.926 ; Test Loss : 0.047998 ; Test Acc : 0.772
Hidden Neurons : 100 ; Parameters : 79510 ; Train Loss : 0.012244 ; Train Acc : 0.939 ; Test Loss : 0.046073 ; Test Acc : 0.789
Hidden Neurons : 120 ; Parameters : 95410 ; Train Loss : 0.011454 ; Train Acc : 0.946 ; Test Loss : 0.047665 ; Test Acc : 0.777
Hidden Neurons : 150 ; Parameters : 119260 ; Train Loss : 0.009657 ; Train Acc : 0.967 ; Test Loss : 0.048928 ; Test Acc : 0.788
Hidden Neurons : 200 ; Parameters : 159010 ; Train Loss : 0.008315 ; Train Acc : 0.988 ; Test Loss : 0.053398 ; Test Acc : 0.795
