Hidden Neurons : 1 ; Train Loss : 0.081674 ; Train Acc : 0.211 ; Test Loss : 0.082536 ; Test Acc : 0.208
Hidden Neurons : 5 ; Train Loss : 0.047203 ; Train Acc : 0.613 ; Test Loss : 0.051633 ; Test Acc : 0.576
Hidden Neurons : 10 ; Train Loss : 0.018013 ; Train Acc : 0.939 ; Test Loss : 0.029253 ; Test Acc : 0.863
Hidden Neurons : 20 ; Train Loss : 0.013320 ; Train Acc : 0.961 ; Test Loss : 0.027749 ; Test Acc : 0.867
Hidden Neurons : 30 ; Train Loss : 0.011762 ; Train Acc : 0.964 ; Test Loss : 0.020791 ; Test Acc : 0.901
Hidden Neurons : 40 ; Train Loss : 0.008386 ; Train Acc : 0.980 ; Test Loss : 0.021075 ; Test Acc : 0.903
Hidden Neurons : 45 ; Train Loss : 0.006619 ; Train Acc : 0.983 ; Test Loss : 0.022082 ; Test Acc : 0.899
Hidden Neurons : 47 ; Train Loss : 0.005314 ; Train Acc : 0.986 ; Test Loss : 0.023284 ; Test Acc : 0.893
Hidden Neurons : 49 ; Train Loss : 0.004478 ; Train Acc : 0.988 ; Test Loss : 0.024351 ; Test Acc : 0.890
Hidden Neurons : 50 ; Train Loss : 0.003717 ; Train Acc : 0.990 ; Test Loss : 0.025537 ; Test Acc : 0.886
Hidden Neurons : 51 ; Train Loss : 0.003198 ; Train Acc : 0.991 ; Test Loss : 0.026706 ; Test Acc : 0.880
Hidden Neurons : 53 ; Train Loss : 0.002840 ; Train Acc : 0.992 ; Test Loss : 0.027963 ; Test Acc : 0.876
Hidden Neurons : 55 ; Train Loss : 0.002520 ; Train Acc : 0.992 ; Test Loss : 0.029011 ; Test Acc : 0.874
Hidden Neurons : 60 ; Train Loss : 0.002243 ; Train Acc : 0.993 ; Test Loss : 0.029933 ; Test Acc : 0.870
Hidden Neurons : 80 ; Train Loss : 0.002021 ; Train Acc : 0.993 ; Test Loss : 0.031046 ; Test Acc : 0.868
Hidden Neurons : 100 ; Train Loss : 0.001835 ; Train Acc : 0.993 ; Test Loss : 0.031861 ; Test Acc : 0.864
Hidden Neurons : 55 ; Train Loss : 0.002559 ; Train Acc : 0.992 ; Test Loss : 0.028951 ; Test Acc : 0.874
Hidden Neurons : 60 ; Train Loss : 0.002315 ; Train Acc : 0.993 ; Test Loss : 0.029994 ; Test Acc : 0.870
Hidden Neurons : 80 ; Train Loss : 0.002034 ; Train Acc : 0.993 ; Test Loss : 0.031044 ; Test Acc : 0.867
Hidden Neurons : 100 ; Train Loss : 0.001861 ; Train Acc : 0.993 ; Test Loss : 0.031933 ; Test Acc : 0.864
